Date,Udemy,Easter,Christmas
1/1/2016,311,0,0
1/2/2016,564,0,0
1/3/2016,517,0,0
1/4/2016,652,0,0
1/5/2016,756,0,0
1/6/2016,742,0,0
1/7/2016,645,0,0
1/8/2016,580,0,0
1/9/2016,556,0,0
1/10/2016,615,0,0
1/11/2016,1016,0,0
1/12/2016,713,0,0
1/13/2016,551,0,0
1/14/2016,596,0,0
1/15/2016,454,0,0
1/16/2016,336,0,0
1/17/2016,412,0,0
1/18/2016,517,0,0
1/19/2016,586,0,0
1/20/2016,539,0,0
1/21/2016,564,0,0
1/22/2016,446,0,0
1/23/2016,424,0,0
1/24/2016,434,0,0
1/25/2016,552,0,0
1/26/2016,526,0,0
1/27/2016,601,0,0
1/28/2016,531,0,0
1/29/2016,523,0,0
1/30/2016,414,0,0
1/31/2016,432,0,0
2/1/2016,534,0,0
2/2/2016,463,0,0
2/3/2016,522,0,0
2/4/2016,440,0,0
2/5/2016,445,0,0
2/6/2016,300,0,0
2/7/2016,336,0,0
2/8/2016,457,0,0
2/9/2016,573,0,0
2/10/2016,537,0,0
2/11/2016,539,0,0
2/12/2016,439,0,0
2/13/2016,377,0,0
2/14/2016,388,0,0
2/15/2016,481,0,0
2/16/2016,504,0,0
2/17/2016,517,0,0
2/18/2016,547,0,0
2/19/2016,459,0,0
2/20/2016,333,0,0
2/21/2016,353,0,0
2/22/2016,525,0,0
2/23/2016,571,0,0
2/24/2016,568,0,0
2/25/2016,503,0,0
2/26/2016,474,0,0
2/27/2016,372,0,0
2/28/2016,405,0,0
2/29/2016,448,0,0
3/1/2016,510,0,0
3/2/2016,515,0,0
3/3/2016,584,0,0
3/4/2016,390,0,0
3/5/2016,316,0,0
3/6/2016,334,0,0
3/7/2016,477,0,0
3/8/2016,433,0,0
3/9/2016,448,0,0
3/10/2016,465,0,0
3/11/2016,419,0,0
3/12/2016,286,0,0
3/13/2016,344,0,0
3/14/2016,474,0,0
3/15/2016,491,0,0
3/16/2016,404,0,0
3/17/2016,441,0,0
3/18/2016,430,0,0
3/19/2016,284,0,0
3/20/2016,286,0,0
3/21/2016,453,0,0
3/22/2016,414,0,0
3/23/2016,427,0,0
3/24/2016,391,0,0
3/25/2016,367,0,0
3/26/2016,333,0,0
3/27/2016,355,1,0
3/28/2016,469,0,0
3/29/2016,462,0,0
3/30/2016,418,0,0
3/31/2016,376,0,0
4/1/2016,373,0,0
4/2/2016,319,0,0
4/3/2016,263,0,0
4/4/2016,408,0,0
4/5/2016,455,0,0
4/6/2016,496,0,0
4/7/2016,348,0,0
4/8/2016,425,0,0
4/9/2016,295,0,0
4/10/2016,296,0,0
4/11/2016,425,0,0
4/12/2016,352,0,0
4/13/2016,388,0,0
4/14/2016,384,0,0
4/15/2016,349,0,0
4/16/2016,288,0,0
4/17/2016,248,0,0
4/18/2016,395,0,0
4/19/2016,432,0,0
4/20/2016,401,0,0
4/21/2016,404,0,0
4/22/2016,294,0,0
4/23/2016,256,0,0
4/24/2016,287,0,0
4/25/2016,384,0,0
4/26/2016,399,0,0
4/27/2016,380,0,0
4/28/2016,383,0,0
4/29/2016,361,0,0
4/30/2016,277,0,0
5/1/2016,292,0,0
5/2/2016,380,0,0
5/3/2016,368,0,0
5/4/2016,390,0,0
5/5/2016,408,0,0
5/6/2016,347,0,0
5/7/2016,231,0,0
5/8/2016,276,0,0
5/9/2016,406,0,0
5/10/2016,446,0,0
5/11/2016,400,0,0
5/12/2016,338,0,0
5/13/2016,328,0,0
5/14/2016,284,0,0
5/15/2016,279,0,0
5/16/2016,362,0,0
5/17/2016,395,0,0
5/18/2016,364,0,0
5/19/2016,388,0,0
5/20/2016,332,0,0
5/21/2016,209,0,0
5/22/2016,285,0,0
5/23/2016,363,0,0
5/24/2016,322,0,0
5/25/2016,377,0,0
5/26/2016,370,0,0
5/27/2016,281,0,0
5/28/2016,264,0,0
5/29/2016,268,0,0
5/30/2016,369,0,0
5/31/2016,374,0,0
6/1/2016,393,0,0
6/2/2016,373,0,0
6/3/2016,371,0,0
6/4/2016,227,0,0
6/5/2016,395,0,0
6/6/2016,504,0,0
6/7/2016,388,0,0
6/8/2016,418,0,0
6/9/2016,361,0,0
6/10/2016,367,0,0
6/11/2016,279,0,0
6/12/2016,297,0,0
