Date,Open,High,Low,Close,Volume
2020-01-01,14590.099609375,14621.650390625,14543.400390625,14574.2001953125,446800.0
2020-01-02,14578.150390625,14707.599609375,14572.900390625,14697.5,560000.0
2020-01-03,14644.599609375,14656.75,14510.849609375,14560.7001953125,615500.0
2020-01-06,14472.7998046875,14493.150390625,14161.849609375,14202.5,817500.0
2020-01-07,14346.5498046875,14467.5,14226.0,14314.75,1075500.0
2020-01-08,14134.849609375,14321.400390625,14117.150390625,14306.650390625,937600.0
2020-01-09,14461.150390625,14604.400390625,14427.25,14590.099609375,927900.0
2020-01-10,14642.7998046875,14693.7001953125,14544.9501953125,14609.650390625,869700.0
2020-01-13,14630.900390625,14701.599609375,14604.0,14635.0498046875,638300.0
2020-01-14,14644.349609375,14685.7998046875,14568.650390625,14667.2001953125,705400.0
2020-01-15,14637.5498046875,14655.7001953125,14528.2998046875,14636.0498046875,783900.0
2020-01-16,14625.0498046875,14697.900390625,14586.75,14655.349609375,657000.0
2020-01-17,14582.5,14636.7998046875,14541.2998046875,14561.7998046875,1086800.0
2020-01-20,14686.7001953125,14686.7001953125,14346.75,14359.650390625,1082000.0
2020-01-21,14308.25,14385.7001953125,14248.2998046875,14305.7001953125,1000.0
2020-01-22,14358.7001953125,14396.2001953125,14152.849609375,14178.5,1300.0
2020-01-23,14196.849609375,14314.7001953125,14145.7998046875,14288.4501953125,1885200.0
2020-01-24,14293.400390625,14450.7001953125,14229.4501953125,14420.400390625,874700.0
2020-01-27,14355.150390625,14400.099609375,14213.0498046875,14234.7001953125,1033100.0
2020-01-28,14278.650390625,14394.349609375,14227.849609375,14273.099609375,1002700.0
2020-01-29,14340.849609375,14409.7998046875,14308.0,14346.7998046875,991300.0
2020-01-30,14382.9501953125,14388.349609375,14247.9501953125,14289.9501953125,965800.0
2020-01-31,14389.2001953125,14413.5498046875,14270.25,14316.900390625,1657200.0
2020-02-03,13719.650390625,13877.2998046875,13647.599609375,13822.2998046875,1338100.0
2020-02-04,13908.0,14241.599609375,13902.849609375,14218.7998046875,1203700.0
2020-02-05,14245.400390625,14420.75,14178.2998046875,14407.7998046875,1303100.0
2020-02-06,14427.2998046875,14596.650390625,14373.25,14545.75,1369000.0
2020-02-07,14551.7001953125,14558.5,14466.400390625,14502.400390625,1301900.0
2020-02-10,14514.75,14520.849609375,14414.25,14496.75,991200.0
2020-02-11,14564.099609375,14676.2998046875,14562.5,14589.5498046875,1479500.0
2020-02-12,14668.7998046875,14747.7001953125,14632.5498046875,14685.400390625,1665700.0
2020-02-13,14698.099609375,14713.7001953125,14539.400390625,14578.849609375,1375500.0
2020-02-14,14596.150390625,14672.7998046875,14434.0,14477.4501953125,1270500.0
2020-02-17,14491.0,14527.5,14350.2001953125,14370.25,957200.0
2020-02-18,14356.2998046875,14367.349609375,14214.0498046875,14315.7001953125,1081500.0
2020-02-19,14456.650390625,14536.7001953125,14374.099609375,14520.25,995100.0
2020-02-20,14511.0498046875,14569.9501953125,14438.4501953125,14510.400390625,1709400.0
2020-02-24,14398.2998046875,14405.849609375,14215.0,14236.150390625,1449000.0
2020-02-25,14282.099609375,14312.849609375,14202.7998046875,14236.099609375,1278900.0
2020-02-26,14156.75,14251.9501953125,14072.4501953125,14132.7001953125,1379700.0
2020-02-27,14113.25,14113.25,13953.5,14086.0498046875,1593700.0
2020-02-28,13778.349609375,13784.650390625,13520.349609375,13566.4501953125,2338900.0
2020-03-02,13824.5,13875.849609375,13374.25,13520.0,2298500.0
2020-03-03,13595.5498046875,13722.150390625,13478.0498046875,13636.9501953125,1977500.0
2020-03-04,13685.0,13695.7001953125,13245.4501953125,13439.5,2103600.0
2020-03-05,13499.0,13607.7001953125,13394.2998046875,13472.75,2724900.0
2020-03-06,13027.900390625,13174.599609375,12851.0,13082.5,2519800.0
2020-03-09,12765.75,12780.849609375,12272.099609375,12522.2001953125,2638200.0
2020-03-11,12391.400390625,12692.7001953125,12383.4501953125,12560.4501953125,2524600.0
2020-03-12,12037.5,12054.4501953125,11293.7001953125,11454.7998046875,3315800.0
2020-03-13,10830.25,12332.0,10305.0498046875,12101.599609375,4121800.0
2020-03-16,11589.650390625,11600.75,11069.599609375,11123.400390625,2232500.0
2020-03-17,11215.75,11248.0,10541.7001953125,10613.599609375,2412900.0
2020-03-18,10709.4501953125,10753.400390625,9711.400390625,9800.2998046875,3467000.0
2020-03-19,9234.7001953125,10081.599609375,8866.650390625,9598.349609375,3723600.0
2020-03-20,9539.9501953125,10113.2998046875,9175.7998046875,9871.9501953125,4548500.0
2020-03-23,8898.400390625,9210.2001953125,8239.150390625,8298.5,2733100.0
2020-03-24,8623.0,8746.7001953125,7984.2001953125,8418.7001953125,3038500.0
2020-03-25,8285.25,9247.849609375,8256.4501953125,9203.2998046875,2949500.0
2020-03-26,9366.9501953125,10073.849609375,9174.25,9698.5498046875,3942900.0
2020-03-27,10159.0,10428.599609375,9594.599609375,9754.2998046875,4052200.0
2020-03-30,9408.0,9528.5498046875,8993.599609375,9030.650390625,2545300.0
2020-03-31,9327.75,9439.9501953125,9106.2001953125,9317.2998046875,2388600.0
2020-04-01,9293.900390625,9319.9501953125,8889.25,8942.5498046875,2068700.0
2020-04-03,8986.599609375,8989.5,8521.150390625,8562.099609375,2581500.0
2020-04-07,9072.4501953125,9328.9501953125,8802.0,9278.2998046875,3191800.0
2020-04-08,9152.599609375,9814.2998046875,9084.400390625,9243.4501953125,3476600.0
2020-04-09,9485.0,9836.349609375,9424.7001953125,9803.0,2670300.0
2020-04-13,9814.2998046875,9842.349609375,9454.7001953125,9500.650390625,2091400.0
2020-04-15,9780.0,9780.099609375,9136.650390625,9239.349609375,2940300.0
2020-04-16,9191.150390625,9466.150390625,9097.0,9392.599609375,3123300.0
2020-04-17,9821.599609375,9972.2001953125,9577.25,9905.5498046875,4118600.0
2020-04-20,10112.5,10142.0,9898.2998046875,9930.650390625,3417600.0
2020-04-21,9612.4501953125,9643.2998046875,9410.349609375,9468.7998046875,2478600.0
2020-04-22,9429.7998046875,9607.0498046875,9300.2998046875,9569.2001953125,2651900.0
2020-04-23,9647.9501953125,9851.5,9526.7001953125,9808.9501953125,2298200.0
2020-04-24,9522.599609375,9619.4501953125,9413.9501953125,9431.849609375,2670300.0
