,date,equity
0,2002-01-01,423.30
1,2002-02-01,1966.30
2,2002-03-01,391.40
3,2002-04-01,11.70
4,2002-05-01,-56.00
5,2002-06-01,-381.10
6,2002-07-01,348.50
7,2002-08-01,204.30
8,2002-09-01,468.60
9,2002-10-01,-776.40
10,2002-11-01,601.80
11,2002-12-01,427.20
12,2003-01-01,888.00
13,2003-02-01,378.70
14,2003-03-01,411.70
15,2003-04-01,430.30
16,2003-05-01,1220.80
17,2003-06-01,2581.70
18,2003-07-01,2346.50
19,2003-08-01,2091.30
20,2003-09-01,3851.30
21,2003-10-01,6797.50
22,2003-11-01,3300.50
23,2003-12-01,6161.10
24,2004-01-01,3176.80
25,2004-02-01,2397.50
26,2004-03-01,5604.40
27,2004-04-01,7638.20
28,2004-05-01,-3246.90
29,2004-06-01,516.40
30,2004-07-01,913.60
31,2004-08-01,2892.30
32,2004-09-01,2385.60
33,2004-10-01,3263.30
34,2004-11-01,6740.80
35,2004-12-01,6683.80
36,2005-01-01,457.10
37,2005-02-01,8376.30
38,2005-03-01,7502.20
39,2005-04-01,-654.10
40,2005-05-01,-1140.10
41,2005-06-01,5328.60
42,2005-07-01,7934.10
43,2005-08-01,5051.20
44,2005-09-01,4646.80
45,2005-10-01,-3693.90
46,2005-11-01,4038.70
47,2005-12-01,9335.00
48,2006-01-01,3677.60
49,2006-02-01,7587.80
50,2006-03-01,6688.80
51,2006-04-01,521.90
52,2006-05-01,-7354.20
53,2006-06-01,479.50
54,2006-07-01,1145.20
55,2006-08-01,4643.10
56,2006-09-01,5424.70
57,2006-10-01,8013.10
58,2006-11-01,9380.10
59,2006-12-01,-3667.40
60,2006-01-01,3677.60
61,2006-02-01,7587.80
62,2006-03-01,6688.80
63,2006-04-01,521.90
64,2006-05-01,-7354.20
65,2006-06-01,479.50
66,2006-07-01,1145.20
67,2006-08-01,4643.10
68,2006-09-01,5424.70
69,2006-10-01,8013.10
70,2006-11-01,9380.10
71,2006-12-01,-3667.40
72,2007-01-01,492.10
